condition,intend,actualdonate,id
1,1,1,1
1,1,1,2
1,1,1,3
1,1,1,4
1,1,1,5
1,1,1,6
1,1,1,7
1,1,1,8
1,1,1,9
1,1,1,10
1,1,1,11
1,1,1,12
1,1,1,13
1,1,1,14
1,1,1,15
1,1,1,16
1,1,1,17
1,1,1,18
1,1,1,19
1,1,1,20
1,1,1,21
1,1,1,22
1,1,1,23
1,1,1,24
1,1,1,25
1,1,1,26
1,1,1,27
1,1,1,28
1,1,1,29
1,1,0,30
1,1,0,31
1,1,0,32
1,1,0,33
1,1,0,34
1,1,0,35
1,1,0,36
1,1,0,37
1,1,0,38
1,1,0,39
1,0,0,40
1,0,0,41
1,0,0,42
2,1,1,43
2,1,1,44
2,1,1,45
2,1,1,46
2,1,1,47
2,1,1,48
2,1,1,49
2,1,1,50
2,1,1,51
2,1,1,52
2,1,1,53
2,1,1,54
2,1,1,55
2,1,1,56
2,1,1,57
2,1,1,58
2,1,0,59
2,1,0,60
2,1,0,61
2,1,0,62
2,1,0,63
2,1,0,64
2,1,0,65
2,1,0,66
2,1,0,67
2,1,0,68
2,1,0,69
2,1,0,70
2,1,0,71
2,1,0,72
2,1,0,73
2,1,0,74
2,1,0,75
2,1,0,76
2,1,0,77
2,1,0,78
2,1,0,79
2,1,0,80
2,0,0,81
2,0,0,82
2,0,0,83
2,0,0,84
2,0,0,85
2,0,0,86
2,0,0,87
